id,name,preferred_subjects,target_colleges,preparation_level,learning_style
1,Aspirant_1,"Legal Reasoning, Current Affairs",NUJS,Advanced,Kinesthetic
2,Aspirant_2,"English, Legal Reasoning","NUJS, NLSIU",Intermediate,Kinesthetic
3,Aspirant_3,"Quantitative Techniques, English, Current Affairs",NLU Delhi,Intermediate,Auditory
4,Aspirant_4,"English, Quantitative Techniques","NLU Delhi, NUJS",Intermediate,Kinesthetic
5,Aspirant_5,Quantitative Techniques,"NLU Delhi, NUJS",Advanced,Visual
6,Aspirant_6,Logical Reasoning,"NALSAR, NLSIU",Beginner,Kinesthetic
7,Aspirant_7,"English, Logical Reasoning",NLU Jodhpur,Advanced,Visual
8,Aspirant_8,"Quantitative Techniques, Logical Reasoning",NLU Delhi,Intermediate,Visual
9,Aspirant_9,Logical Reasoning,"NLSIU, NLU Jodhpur",Advanced,Auditory
10,Aspirant_10,"Quantitative Techniques, Current Affairs, English",NLU Jodhpur,Beginner,Visual
11,Aspirant_11,English,NLU Jodhpur,Beginner,Auditory
12,Aspirant_12,"Current Affairs, Legal Reasoning, Quantitative Techniques",NLSIU,Intermediate,Kinesthetic
13,Aspirant_13,"Quantitative Techniques, Legal Reasoning, Current Affairs","NLSIU, NUJS",Intermediate,Kinesthetic
14,Aspirant_14,"Logical Reasoning, Quantitative Techniques","NLSIU, GNLU",Intermediate,Visual
15,Aspirant_15,"English, Legal Reasoning","NLU Jodhpur, NLSIU",Intermediate,Kinesthetic
16,Aspirant_16,"Logical Reasoning, Quantitative Techniques","NLSIU, NLU Delhi",Intermediate,Kinesthetic
17,Aspirant_17,"Quantitative Techniques, Legal Reasoning, English","NLU Jodhpur, NUJS",Intermediate,Kinesthetic
18,Aspirant_18,English,NALSAR,Advanced,Kinesthetic
19,Aspirant_19,Quantitative Techniques,NLSIU,Beginner,Auditory
20,Aspirant_20,"Quantitative Techniques, Current Affairs, Logical Reasoning",GNLU,Advanced,Visual
21,Aspirant_21,"Quantitative Techniques, English",NALSAR,Intermediate,Kinesthetic
22,Aspirant_22,Logical Reasoning,NLSIU,Intermediate,Auditory
23,Aspirant_23,"Logical Reasoning, Quantitative Techniques, Current Affairs",NLSIU,Intermediate,Auditory
24,Aspirant_24,"Quantitative Techniques, Logical Reasoning",NALSAR,Intermediate,Visual
25,Aspirant_25,Current Affairs,GNLU,Advanced,Auditory
26,Aspirant_26,Current Affairs,"NUJS, GNLU",Beginner,Kinesthetic
27,Aspirant_27,"English, Current Affairs","NLU Delhi, NLSIU",Intermediate,Visual
28,Aspirant_28,"Logical Reasoning, Current Affairs, English",NLU Jodhpur,Intermediate,Visual
29,Aspirant_29,English,"NUJS, NLU Jodhpur",Advanced,Visual
30,Aspirant_30,"Legal Reasoning, Current Affairs","NUJS, GNLU",Beginner,Kinesthetic
31,Aspirant_31,Legal Reasoning,GNLU,Beginner,Auditory
32,Aspirant_32,"Quantitative Techniques, English, Legal Reasoning","NLU Delhi, NUJS",Intermediate,Kinesthetic
33,Aspirant_33,Current Affairs,"NLU Jodhpur, NUJS",Beginner,Auditory
34,Aspirant_34,Quantitative Techniques,"NLU Delhi, NLU Jodhpur",Intermediate,Visual
35,Aspirant_35,"Current Affairs, Quantitative Techniques",NALSAR,Beginner,Auditory
36,Aspirant_36,"Legal Reasoning, English, Quantitative Techniques","NLU Jodhpur, GNLU",Advanced,Auditory
37,Aspirant_37,Legal Reasoning,"NUJS, NLSIU",Beginner,Visual
38,Aspirant_38,"English, Current Affairs, Logical Reasoning","NLSIU, NALSAR",Beginner,Auditory
39,Aspirant_39,"Logical Reasoning, English, Legal Reasoning",NALSAR,Intermediate,Visual
40,Aspirant_40,"Current Affairs, Quantitative Techniques","NUJS, GNLU",Advanced,Auditory
41,Aspirant_41,Quantitative Techniques,"NALSAR, GNLU",Beginner,Visual
42,Aspirant_42,Quantitative Techniques,"NLU Jodhpur, NLSIU",Intermediate,Auditory
43,Aspirant_43,"Legal Reasoning, Quantitative Techniques","NLU Jodhpur, NALSAR",Beginner,Kinesthetic
44,Aspirant_44,"Current Affairs, English, Logical Reasoning","GNLU, NALSAR",Advanced,Kinesthetic
45,Aspirant_45,"Legal Reasoning, Logical Reasoning",NLU Jodhpur,Beginner,Auditory
46,Aspirant_46,"Current Affairs, English, Legal Reasoning",NUJS,Beginner,Kinesthetic
47,Aspirant_47,Legal Reasoning,"NALSAR, NLU Jodhpur",Advanced,Visual
48,Aspirant_48,Current Affairs,"NLU Delhi, GNLU",Beginner,Auditory
49,Aspirant_49,Current Affairs,NALSAR,Intermediate,Visual
50,Aspirant_50,English,GNLU,Intermediate,Visual
51,Aspirant_51,English,"GNLU, NUJS",Beginner,Visual
52,Aspirant_52,Current Affairs,NALSAR,Beginner,Kinesthetic
53,Aspirant_53,"Logical Reasoning, Legal Reasoning, Current Affairs","NLU Jodhpur, NUJS",Intermediate,Auditory
54,Aspirant_54,English,NLU Jodhpur,Intermediate,Visual
55,Aspirant_55,"Current Affairs, Legal Reasoning",NUJS,Beginner,Auditory
56,Aspirant_56,Quantitative Techniques,"NALSAR, NUJS",Advanced,Kinesthetic
57,Aspirant_57,"Legal Reasoning, Quantitative Techniques",NLSIU,Intermediate,Kinesthetic
58,Aspirant_58,"Logical Reasoning, Quantitative Techniques, English","NLU Delhi, NLU Jodhpur",Intermediate,Auditory
59,Aspirant_59,"Logical Reasoning, Legal Reasoning",NALSAR,Beginner,Auditory
60,Aspirant_60,Legal Reasoning,GNLU,Advanced,Auditory
61,Aspirant_61,"English, Logical Reasoning, Quantitative Techniques","NLSIU, NALSAR",Beginner,Auditory
62,Aspirant_62,"Quantitative Techniques, English, Current Affairs","NALSAR, NLU Delhi",Advanced,Kinesthetic
63,Aspirant_63,"Legal Reasoning, English, Quantitative Techniques","NUJS, NLU Delhi",Intermediate,Visual
64,Aspirant_64,"English, Legal Reasoning",NALSAR,Beginner,Visual
65,Aspirant_65,Legal Reasoning,NLU Jodhpur,Intermediate,Visual
66,Aspirant_66,"Legal Reasoning, English","NLSIU, NLU Jodhpur",Beginner,Auditory
67,Aspirant_67,Current Affairs,NUJS,Beginner,Auditory
68,Aspirant_68,"Logical Reasoning, Quantitative Techniques, English",NLU Jodhpur,Beginner,Auditory
69,Aspirant_69,Current Affairs,"NLSIU, NLU Jodhpur",Intermediate,Kinesthetic
70,Aspirant_70,"Current Affairs, Logical Reasoning","NUJS, NALSAR",Beginner,Auditory
71,Aspirant_71,"Quantitative Techniques, Legal Reasoning, Logical Reasoning",GNLU,Beginner,Kinesthetic
72,Aspirant_72,Logical Reasoning,NLSIU,Advanced,Visual
73,Aspirant_73,"Quantitative Techniques, Current Affairs",NLU Jodhpur,Intermediate,Visual
74,Aspirant_74,"English, Quantitative Techniques","NUJS, GNLU",Advanced,Kinesthetic
75,Aspirant_75,"Legal Reasoning, English, Quantitative Techniques",NLU Jodhpur,Advanced,Visual
76,Aspirant_76,"English, Legal Reasoning, Current Affairs",NLU Delhi,Advanced,Visual
77,Aspirant_77,"Current Affairs, Legal Reasoning",NALSAR,Intermediate,Visual
78,Aspirant_78,"Logical Reasoning, Quantitative Techniques",NLSIU,Intermediate,Auditory
79,Aspirant_79,Quantitative Techniques,NALSAR,Advanced,Kinesthetic
80,Aspirant_80,"Current Affairs, English, Logical Reasoning","NALSAR, NLU Delhi",Advanced,Kinesthetic
81,Aspirant_81,"Logical Reasoning, English","NUJS, GNLU",Advanced,Kinesthetic
82,Aspirant_82,"Quantitative Techniques, Current Affairs","NUJS, NLU Jodhpur",Intermediate,Visual
83,Aspirant_83,"English, Legal Reasoning","NLSIU, NLU Jodhpur",Intermediate,Kinesthetic
84,Aspirant_84,Logical Reasoning,GNLU,Beginner,Kinesthetic
85,Aspirant_85,Logical Reasoning,"NLSIU, NUJS",Intermediate,Kinesthetic
86,Aspirant_86,"Current Affairs, English, Quantitative Techniques",NLU Jodhpur,Advanced,Visual
87,Aspirant_87,"Current Affairs, English, Quantitative Techniques","NLU Delhi, GNLU",Beginner,Visual
88,Aspirant_88,"Logical Reasoning, Current Affairs, Quantitative Techniques","GNLU, NUJS",Intermediate,Visual
89,Aspirant_89,Current Affairs,"NUJS, NLSIU",Advanced,Visual
90,Aspirant_90,"Logical Reasoning, Current Affairs, Quantitative Techniques","GNLU, NUJS",Intermediate,Auditory
91,Aspirant_91,English,NUJS,Beginner,Kinesthetic
92,Aspirant_92,Current Affairs,"NLU Jodhpur, NLSIU",Advanced,Visual
93,Aspirant_93,"Current Affairs, Legal Reasoning, Quantitative Techniques","NUJS, GNLU",Advanced,Visual
94,Aspirant_94,"Logical Reasoning, Quantitative Techniques, Legal Reasoning",NLU Jodhpur,Advanced,Auditory
95,Aspirant_95,"English, Logical Reasoning, Quantitative Techniques","NUJS, GNLU",Beginner,Auditory
96,Aspirant_96,"Quantitative Techniques, English","GNLU, NUJS",Advanced,Visual
97,Aspirant_97,"Logical Reasoning, Current Affairs",GNLU,Intermediate,Kinesthetic
98,Aspirant_98,"Quantitative Techniques, English, Legal Reasoning","NLU Jodhpur, GNLU",Advanced,Kinesthetic
99,Aspirant_99,"Logical Reasoning, Legal Reasoning, Quantitative Techniques","NLU Delhi, NALSAR",Advanced,Kinesthetic
100,Aspirant_100,"Legal Reasoning, Logical Reasoning",GNLU,Intermediate,Visual
101,Aspirant_101,"English, Current Affairs, Legal Reasoning",GNLU,Intermediate,Visual
102,Aspirant_102,Current Affairs,GNLU,Intermediate,Visual
103,Aspirant_103,"Logical Reasoning, Legal Reasoning, English",NLU Jodhpur,Intermediate,Auditory
104,Aspirant_104,Current Affairs,NUJS,Intermediate,Auditory
105,Aspirant_105,Logical Reasoning,GNLU,Advanced,Auditory
106,Aspirant_106,"Quantitative Techniques, Current Affairs","NLU Delhi, NLSIU",Intermediate,Kinesthetic
107,Aspirant_107,Legal Reasoning,NLSIU,Intermediate,Kinesthetic
108,Aspirant_108,"Current Affairs, English",NUJS,Beginner,Visual
109,Aspirant_109,"Legal Reasoning, Current Affairs","NLU Jodhpur, NUJS",Beginner,Visual
110,Aspirant_110,"Logical Reasoning, Current Affairs",NUJS,Intermediate,Auditory
111,Aspirant_111,"Quantitative Techniques, Current Affairs","NLU Jodhpur, GNLU",Advanced,Visual
112,Aspirant_112,"Logical Reasoning, English","NUJS, NALSAR",Intermediate,Kinesthetic
113,Aspirant_113,"English, Current Affairs, Quantitative Techniques","NLSIU, NALSAR",Beginner,Auditory
114,Aspirant_114,"Legal Reasoning, English","NLU Jodhpur, NALSAR",Advanced,Kinesthetic
115,Aspirant_115,"Quantitative Techniques, Legal Reasoning, Current Affairs","GNLU, NALSAR",Intermediate,Auditory
116,Aspirant_116,"Current Affairs, Quantitative Techniques, Legal Reasoning","NLU Jodhpur, NLU Delhi",Advanced,Kinesthetic
117,Aspirant_117,"Current Affairs, English, Legal Reasoning",GNLU,Beginner,Auditory
118,Aspirant_118,"Current Affairs, English, Logical Reasoning","NLU Jodhpur, NLU Delhi",Intermediate,Auditory
119,Aspirant_119,"Logical Reasoning, Quantitative Techniques","GNLU, NLU Delhi",Intermediate,Kinesthetic
120,Aspirant_120,"Legal Reasoning, Quantitative Techniques, Current Affairs",GNLU,Intermediate,Kinesthetic
121,Aspirant_121,"Legal Reasoning, Current Affairs, Quantitative Techniques",NLU Delhi,Beginner,Visual
122,Aspirant_122,"Logical Reasoning, Quantitative Techniques",NALSAR,Beginner,Visual
123,Aspirant_123,"Quantitative Techniques, Legal Reasoning",NUJS,Beginner,Auditory
124,Aspirant_124,Logical Reasoning,NLU Jodhpur,Intermediate,Visual
125,Aspirant_125,Logical Reasoning,NUJS,Advanced,Kinesthetic
126,Aspirant_126,Quantitative Techniques,"NLU Jodhpur, NLU Delhi",Intermediate,Auditory
127,Aspirant_127,Legal Reasoning,"NUJS, NLU Jodhpur",Intermediate,Kinesthetic
128,Aspirant_128,English,NLSIU,Beginner,Visual
129,Aspirant_129,"Logical Reasoning, Quantitative Techniques, Legal Reasoning",GNLU,Advanced,Kinesthetic
130,Aspirant_130,English,GNLU,Beginner,Visual
131,Aspirant_131,Current Affairs,NLU Jodhpur,Beginner,Visual
132,Aspirant_132,"Quantitative Techniques, Logical Reasoning, Legal Reasoning","NLSIU, GNLU",Advanced,Auditory
