id,name,strength_subjects,specialization_colleges,experience_level,teaching_style
1001,Mentor_1,Legal Reasoning,"NLSIU, NUJS",Intermediate,Kinesthetic
1002,Mentor_2,"Current Affairs, Logical Reasoning","NALSAR, NLU Delhi",Advanced,Auditory
1003,Mentor_3,Legal Reasoning,"NLU Jodhpur, NUJS",Advanced,Auditory
1004,Mentor_4,"Legal Reasoning, Quantitative Techniques","NALSAR, NLU Jodhpur",Beginner,Kinesthetic
1005,Mentor_5,"Current Affairs, Logical Reasoning","NLU Delhi, NLSIU",Beginner,Kinesthetic
1006,Mentor_6,"Logical Reasoning, English, Current Affairs","NUJS, NALSAR",Advanced,Auditory
1007,Mentor_7,"Quantitative Techniques, Legal Reasoning, Logical Reasoning","NALSAR, NLU Jodhpur",Intermediate,Kinesthetic
1008,Mentor_8,"Logical Reasoning, Quantitative Techniques, Legal Reasoning",NLU Jodhpur,Intermediate,Auditory
1009,Mentor_9,Legal Reasoning,NUJS,Advanced,Visual
1010,Mentor_10,"Logical Reasoning, Legal Reasoning",NLU Delhi,Intermediate,Kinesthetic
1011,Mentor_11,"Logical Reasoning, Legal Reasoning",NUJS,Intermediate,Auditory
1012,Mentor_12,English,"GNLU, NUJS",Advanced,Visual
1013,Mentor_13,"Legal Reasoning, Quantitative Techniques, Current Affairs",NALSAR,Advanced,Kinesthetic
1014,Mentor_14,"Logical Reasoning, Quantitative Techniques","NUJS, GNLU",Beginner,Visual
1015,Mentor_15,Current Affairs,"NALSAR, NLSIU",Advanced,Kinesthetic
1016,Mentor_16,"Current Affairs, English",GNLU,Beginner,Auditory
1017,Mentor_17,"Legal Reasoning, Logical Reasoning","NLSIU, NALSAR",Advanced,Auditory
1018,Mentor_18,"Logical Reasoning, Legal Reasoning","NUJS, NLU Jodhpur",Advanced,Kinesthetic
1019,Mentor_19,Current Affairs,GNLU,Intermediate,Auditory
1020,Mentor_20,"Quantitative Techniques, Logical Reasoning, English","NUJS, NLU Delhi",Beginner,Kinesthetic
1021,Mentor_21,"Current Affairs, Legal Reasoning, Logical Reasoning","NLSIU, NUJS",Beginner,Visual
1022,Mentor_22,"Legal Reasoning, Logical Reasoning, Quantitative Techniques","NLU Jodhpur, NUJS",Beginner,Visual
1023,Mentor_23,Quantitative Techniques,NLU Jodhpur,Beginner,Auditory
1024,Mentor_24,Legal Reasoning,NALSAR,Beginner,Visual
1025,Mentor_25,"Legal Reasoning, Logical Reasoning",NLU Jodhpur,Beginner,Visual
